Date,Volume,Volume_std,Index_ROC,Close,close_std_sp500-F,close_m_sp500-F
2012-9-19,457469,-1.080214139,0.02,1459.5,-0.349631509,29.19
2012-9-20,309519,-1.259247757,0.07,1460.5,-0.348404959,29.21
2012-9-21,1605312,0.308785416,0.53,1468.25,-0.338899194,29.365
2012-9-24,1261245,-0.107568485,-1.14,1451.5,-0.359443912,29.03
2012-9-25,1813743,0.561006814,-0.98,1437.25,-0.376922255,28.745
2012-9-26,1793271,0.53623374,-0.71,1427,-0.389494396,28.54
2012-9-27,1754826,0.489711622,0.98,1441,-0.372322691,28.82
2012-9-28,2101935,0.909746633,-0.47,1434.25,-0.380601906,28.685
2012-10-1,1903230,0.669294622,0.19,1437,-0.377228892,28.74
2012-10-2,1610265,0.314779018,0.28,1441,-0.372322691,28.82
2012-10-3,1553817,0.246471552,0.26,1444.75,-0.367723127,28.895
2012-10-4,1566715,0.262079363,0.76,1455.75,-0.354231073,29.115
2012-10-5,1681666,0.401181041,-0.02,1455.5,-0.354537711,29.11
2012-10-8,961596,-0.470172367,-0.4,1449.75,-0.361590375,28.995
2012-10-9,1956139,0.733319561,-0.95,1436,-0.378455442,28.72
2012-10-10,1672672,0.390297443,-0.68,1426.25,-0.390414308,28.525
2012-10-11,1585045,0.284260412,0.16,1428.5,-0.38765457,28.57
2012-10-12,1624836,0.332411319,-0.49,1421.5,-0.396240422,28.43
2012-10-15,1525436,0.212127834,0.98,1435.5,-0.379068718,28.71
2012-10-16,1622289,0.329329206,0.96,1449.25,-0.36220365,28.985
2012-10-17,1534392,0.222965449,0.53,1457,-0.352697885,29.14
2012-10-18,1805949,0.55157533,-0.38,1451.5,-0.359443912,29.03
2012-10-19,2400959,1.271594205,-1.89,1424,-0.393174047,28.48
2012-10-22,1777803,0.517515984,0.42,1430,-0.385814745,28.6
2012-10-23,2303989,1.154251252,-1.63,1406.75,-0.41433204,28.135
2012-10-24,1756752,0.492042266,-0.11,1405.25,-0.416171865,28.105
2012-10-25,1808585,0.554765142,0.21,1408.25,-0.412492214,28.165
2012-10-26,2089898,0.895180714,-0.05,1407.5,-0.413412127,28.15
2012-10-31,1775915,0.515231324,-0.05,1406.75,-0.41433204,28.135
2012-11-1,1705976,0.430598461,1.17,1423.25,-0.394093959,28.465
2012-11-2,2089006,0.894101309,-1.25,1405.5,-0.415865228,28.11
2012-11-5,1388947,0.04696312,0.46,1412,-0.407892651,28.24
2012-11-6,1481236,0.158641617,0.94,1425.25,-0.391640859,28.505
2012-11-7,3199570,2.237989717,-2.54,1389,-0.436103309,27.78
2012-11-8,2615376,1.531059234,-0.99,1375.25,-0.452968376,27.505
2012-11-9,2549324,1.451130012,0.04,1375.75,-0.452355101,27.515
