Date,Volume,Volume_std ,Index_ROC,Close,close_std_sp500_F_mini,close_m_sp500_F_mini
7/19/2019,262655,-0.927251169,-0.68,2977,-0.846451522,595.4
7/22/2019,186865,-1.105801841,0.4,2989,-0.824567462,597.8
7/23/2019,209110,-1.053395723,0.64,3008,-0.789917701,601.6
7/24/2019,194065,-1.088839645,0.45,3021.5,-0.765298133,604.3
7/25/2019,291736,-0.858740388,-0.5,3006.5,-0.792653208,601.3
7/26/2019,173468,-1.137363305,0.6,3024.5,-0.759827118,604.9
7/29/2019,178198,-1.126220085,-0.09,3021.75,-0.764842215,604.35
7/30/2019,237838,-0.985716561,-0.31,3012.25,-0.782167096,602.45
7/31/2019,451065,-0.48338348,-1,2982.25,-0.836877246,596.45
8/1/2019,701486,0.106573479,-1.01,2952,-0.892043314,590.4
8/2/2019,557195,-0.233355998,-0.66,2932.5,-0.927604912,586.5
8/5/2019,723771,0.159073831,-3.5,2830,-1.114531258,566
8/6/2019,637888,-0.043254542,1.63,2876,-1.030642361,575.2
8/7/2019,765873,0.258260273,0.16,2880.5,-1.022435839,576.1
8/8/2019,317162,-0.798840277,2.07,2940,-0.913927374,588
8/9/2019,473100,-0.431472092,-0.69,2919.75,-0.950856726,583.95
8/12/2019,445371,-0.49679775,-1.35,2880.25,-1.022891757,576.05
8/13/2019,461077,-0.459796604,1.8,2932,-0.928516748,586.4
8/14/2019,569458,-0.20446608,-3.11,2840.75,-1.094926788,568.15
8/15/2019,719454,0.148903581,0.27,2848.5,-1.080793332,569.7
8/16/2019,315805,-0.80203718,1.51,2891.5,-1.00237545,578.3
8/19/2019,211871,-1.046891192,1.12,2923.75,-0.943562039,584.75
8/20/2019,244063,-0.971051329,-0.87,2898.25,-0.990065667,579.65
8/21/2019,187679,-1.103884171,1.07,2929.25,-0.933531845,585.85
8/22/2019,264640,-0.922574786,-0.24,2922.25,-0.946297547,584.45
8/23/2019,501966,-0.363467821,-2.28,2855.5,-1.068027631,571.1
8/26/2019,354113,-0.711788874,0.97,2883.25,-1.017420742,576.65
8/27/2019,301020,-0.836868579,-0.62,2865.5,-1.049790914,573.1
8/28/2019,275588,-0.896782824,0.85,2889.75,-1.005566876,577.95
8/29/2019,256909,-0.940787944,1.28,2926.75,-0.938091024,585.35
8/30/2019,259821,-0.933927678,-0.07,2924.75,-0.941738367,584.95
9/3/2019,394439,-0.61678644,-0.64,2906,-0.975932211,581.2
9/4/2019,217291,-1.034122428,1.12,2938.5,-0.916662882,587.7
9/5/2019,291346,-0.859659174,1.14,2972,-0.855569881,594.4
9/6/2019,220131,-1.027431784,0.29,2980.75,-0.839612754,596.15
9/9/2019,181052,-1.119496459,-0.08,2978.25,-0.844171933,595.65
9/10/2019,259700,-0.934212737,0.01,2978.5,-0.843716015,595.7
9/11/2019,204351,-1.064607264,0.79,3002,-0.800859731,600.4
9/12/2019,319497,-0.793339343,0.32,3011.75,-0.783078932,602.35
9/13/2019,49788,-1.42873614,-0.17,3006.5,-0.792653208,601.3
9/16/2019,30303,-1.474640083,-0.25,2999,-0.806330746,599.8
9/17/2019,18363,-1.502769058,0.22,3005.5,-0.79447688,601.1
9/18/2019,20187,-1.498471969,0.02,3006.25,-0.793109126,601.25
9/19/2019,13729,-1.513686116,-0.01,3006,-0.793565044,601.2
9/20/2019,303170,-0.831803478,0.25,3013.610107,-0.779686707,602.7220215
9/23/2019,243011,-0.973529694,-0.55,2997,-0.809978089,599.4
9/24/2019,478998,-0.417577227,-0.89,2970.25,-0.858761306,594.05
9/25/2019,301205,-0.836432744,0.54,2986.25,-0.829582559,597.25
9/26/2019,277246,-0.892876808,-0.19,2980.5,-0.840068672,596.1
9/27/2019,361744,-0.693811302,-0.56,2963.75,-0.870615172,592.75
9/30/2019,199855,-1.075199213,0.5,2978.5,-0.843716015,595.7
10/1/2019,331879,-0.764169077,-1.37,2937.75,-0.918030636,587.55
10/2/2019,404895,-0.592153562,-1.95,2880.5,-1.022435839,576.1
10/3/2019,424733,-0.545418,1.08,2911.75,-0.965446099,582.35
