Date,Open,High,Low,Close,Volume,Dividends,Stock_Splits,spindex_close_adjusted,spindex_volume_adjusted
2018-01-17,2784.98999,2807.040039,2778.379883,2802.560059,3778050000,0,0,1.320065333,0.37449995
2018-01-18,2802.399902,2805.830078,2792.560059,2798.030029,3681470000,0,0,1.314440864,0.310856124
2018-01-19,2802.600098,2810.330078,2798.080078,2810.300049,3639430000,0,0,1.329675277,0.283152806
2018-01-22,2809.159912,2833.030029,2808.120117,2832.969971,3471780000,0,0,1.35782217,0.172675611
2018-01-23,2835.050049,2842.23999,2830.590088,2839.129883,3519650000,0,0,1.365470294,0.204220755
2018-01-24,2845.419922,2852.969971,2824.810059,2837.540039,4014070000,0,0,1.363496349,0.530031279
2018-01-25,2846.23999,2848.560059,2830.939941,2839.25,3835150000,0,0,1.365619431,0.412127434
2018-01-26,2847.47998,2872.870117,2846.179932,2872.870117,3443230000,0,0,1.407362046,0.153861869
2018-01-29,2867.22998,2870.620117,2851.47998,2853.530029,3573830000,0,0,1.383349463,0.239924032
2018-01-30,2832.73999,2837.75,2818.27002,2822.429932,3990650000,0,0,1.344735695,0.51459808
2018-01-31,2832.409912,2839.26001,2813.040039,2823.810059,4261280000,0,0,1.346449256,0.692936542
2018-02-01,2816.449951,2835.959961,2812.699951,2821.97998,3938450000,0,0,1.344177037,0.480199574
2018-02-02,2808.919922,2808.919922,2759.969971,2762.129883,4301130000,0,0,1.269867373,0.719196704
2018-02-05,2741.060059,2763.389893,2638.169922,2648.939941,5283460000,0,0,1.129331152,1.366527825
2018-02-06,2614.780029,2701.040039,2593.070068,2695.139893,5891660000,0,0,1.186692845,1.76731655
2018-02-07,2690.949951,2727.669922,2681.330078,2681.659912,4626570000,0,0,1.16995615,0.933653597
2018-02-08,2685.01001,2685.27002,2580.560059,2581,5305440000,0,0,1.044977168,1.3810121
2018-02-09,2601.780029,2638.669922,2532.689941,2619.550049,5680070000,0,0,1.092840769,1.627883984
2018-02-12,2636.75,2672.610107,2622.449951,2656,4055790000,0,0,1.138096896,0.557523725
2018-02-13,2646.27002,2668.840088,2637.080078,2662.939941,3472870000,0,0,1.146713502,0.173393894
2018-02-14,2651.209961,2702.100098,2648.870117,2698.629883,4003740000,0,0,1.191026004,0.523224065
2018-02-15,2713.459961,2731.51001,2689.820068,2731.199951,3684910000,0,0,1.231464882,0.313122998
2018-02-16,2727.139893,2754.419922,2725.110107,2732.219971,3637460000,0,0,1.232731335,0.281854624
2018-02-20,2722.98999,2737.600098,2706.76001,2716.26001,3627610000,0,0,1.212915506,0.275363719
2018-02-21,2720.530029,2747.75,2701.290039,2701.330078,3779400000,0,0,1.194378556,0.375389566
